省份,交易门槛V0,交易门槛V1,交易门槛V2,交易门槛V3,对应运营大区,large_area_no,极速售后额度V0,极速售后额度V1,极速售后额度V2,极速售后额度V3,超时加单次数
广东,0,800,2000,5000,广州大区,14,0,30,50,150,0
浙江,0,1000,2500,6000,杭州大区,1,0,31,51,151,0
江苏,0,900,2400,5000,"苏南大区",84,0,32,52,152,0
江苏,0,900,2400,5000,"苏州大区",72,0,32,52,152,0
湖南,0,900,2000,4000,长沙大区,50,0,33,53,153,0
上海,0,1000,3000,6000,上海大区,2,0,34,54,154,0
湖北,0,700,1800,4000,武汉大区,91,0,35,55,155,0
福建,0,600,1600,3000,福州大区,38,0,36,56,156,0
四川,0,700,2000,4000,成都大区,24,0,37,57,157,0
江西,0,900,2300,5000,长沙大区,50,0,38,58,158,0
山东,0,700,1800,4000,青岛大区,75,0,39,59,159,0
重庆,0,700,1800,4000,重庆大区,29,0,40,60,160,0
安徽,0,600,1600,4000,苏州大区,72,0,41,61,161,0
广西,0,700,2000,5000,南宁大区,70,0,42,62,162,0
云南,0,600,1800,5000,昆明大区,71,0,43,63,163,0
贵州,0,800,2000,5000,贵阳大区,74,0,44,64,164,0